السياق 02	السياق بأكمله	المتوقع	ضمن الفئة	بين الفئة	قيد
كانت ستصبح جيدة حقًا في [MASK].	أعلنت روزالين بسعادة "كش مات". كانت ستصبح جيدة حقًا في [MASK].	الشطرنج	لعبة المونوبولي	كرة القدم	H
غالبًا ما كان يقضي هو وأخته ساعات في لعب [MASK].	وضع جاستن منزلاً ثانيًا في بارك بليس. غالبًا ما كان يقضي هو وأخته ساعات في لعب [MASK].	لعبة المونوبولي	شطرنج	البيسبول	H
لم يكن هناك شيء يستمتع به أكثر من مباراة [MASK]. 	التقط التمريرة وسجل هدفاً آخر في مرمى الخصم. لم يكن هناك شيء يستمتع به أكثر من مباراة كرة [MASK]. 	كرة القدم	البيسبول	لعبة المونوبولي	H
كلاهما يشتركان في اهتمام دائم ب[MASK].	لم يستطع ريتش حساب عدد مباريات يانكيز التي شاهدها مع والده. كلاهما يشتركان في اهتمام دائم ب[MASK].	البيسبول	كرة القدم	الشطرنج	H
كان يقود سيارته كل صباح لبضع دقائق ثم يركب على متن [MASK]. 	كان نقله و سيارته الى عمل على الجزيرة المجاورة يستغرق وقتًا طويلاً. كان يقود سيارته كل صباح لبضع دقائق ثم يركب على متن [MASK]. 	عبارة	قارب	طائرة	L
قرروا أنه سيتعين عليهم استخدام [MASK].	كان المريض في حالة حرجة ولم تكن سيارة الإسعاف تسير بالسرعة الكافية. قرروا أنه سيتعين عليهم استخدام [MASK].	طائرة هليكوبتر	طائرة	عبارة	L
شعرت بتحسن مفاجئ عندما صعدت على متن  [MASK].	كانت إيمي قلقة للغاية بشأن السفر إلى الخارج لأول مرة. شعرت بتحسن مفاجئ عندما صعدت على متن  [MASK].	طائرة	طائرة هليكوبتر	زورق	L
كانت أخت أنيت مسؤولة على  تحضير [MASK].	في اليوم السابق للزفاف، كان المطبخ مغطى بالكريمة. كانت أخت أنيت مسؤولة على  تحضير [MASK].	كعكة	البسكويت	الخبز المحمص	L
ارتأت أنه لا بد أنه استمتع حقًا بـ[MASK].	كانت الفتاة الصغيرة سعيدة لأن سانتا كلوز لم يترك شيئًا سوى الفتات على الطبق. ارتأت أنه لا بد أنه استمتع حقًا بـ[MASK].	البسكويت	الكعكة	الفطائر	H
لم تصدق أنه أفسد حتى [MASK].	أراد أن يحضر لزوجته الإفطار ، لكنه أحرقها قطعة تلو الأخرى. لم تصدق أنه أفسد حتى [MASK].	الخبز المحمص	الفطائر	بسكويت	H
يبدو أن ستيفاني سعيدة حقًا لأن دان أعطاها ذلك [MASK].	تستمر في تدويرها و تدويرها حول عنقها. يبدو أن ستيفاني سعيدة حقًا لأن دان أعطاها ذلك [MASK].	العقد	الإسوارة	ماسكارا	L
