الخانة	السياق	المتوقع	المتوقع الأقرب 	الهدف	الهدف الأقرب
61- ب	وثق أمين المكتبة الصحفي الذي قام  المشاهير بـ[MASK].	تجنب | كره | أشارة | التقى	0.066666667	مقابلة	0
61- أ	وثق أمين المكتبة المشاهير الذي قام  الصحفي بـ[MASK].	مقابلة	0.533333333	مقابلة	0.533333333
62- ب	تذكرت الأرملة العجوز أي شبح [MASK] القروي.	رآه	0.6	مسكون	0
62- أ	تذكرت الأرملة العجوز أي قروي كان الشبح [MASK].	يسكنه	0.5	مسكون	0.5
63- ب	أبلغ رجل الإطفاء عن المسعف الذي كان الضحية [MASK].	يشكر	0.2	ينقذ	0
63- أ	أبلغ رجل الإطفاء عن الضحية التي قام  المسعف بـ[MASK].	إنقاذ	0.433333333	إنقاذ	0.433333333
64- ب	وثق المؤرخ أي قاتل قام الأمير بـ[MASK].	استأجره	0.2	قتل	0
64- أ	وثق المؤرخ أي أمير قام  القاتل بـ[MASK].	قتل	0.466666667	قتل	0.466666667
66- ب	تعرف معلم الجودو على المعتدي الذي قام المدافع بـ[MASK] عليه.	هزم/ضرب	0.1	هجوم	0
66- أ	تعرف معلم الجودو على المدافع الذي قام المعتدي بـ[MASK] عليه.	هجوم	0.4	هجوم	0.4
67- ب	لاحظ عالم الطبيعة أي غزال قامت الحيوانات المفترسة بـ[MASK].	أكل/قتل	0.233333333	تجنب	0
67- أ	لاحظ عالم الطبيعة أي الحيوانات المفترسة قامت الغزال بـ[MASK].	تجنب	0.4	تجنب	0.4
68- ب	نسي صاحب المطعم أي نادل قام الزبون بـ[MASK] إكرامية.	إعطه	0.266666667	خدمت	0
68- أ	نسي صاحب المطعم أي زبون قام النادل بـ[MASK].	خدمت	0.366666667	خدمت	0.366666667
71- ب	عرفت المربية أي ملياردير قامت مدبرة المنزل  بـ[MASK].	عمل عنده	0.333333333	توضيف	0
71- أ	عرفت المربية أي مدبرة منزل قام الملياردير بـ[MASK].	توضيف	0.333333333	توضيف	0.333333333
72- ب	تعرف الباحث علي أي عالم أحياء الذي قام  الحوت بـ[MASK].	أكله	0.166666667	دراسته	0
72- أ	تعرف الباحث علي أي حوت  قام  عالم الأحياء بـ[MASK].	دراسته	0.433333333	دراسته	0.433333333
73- ب	أعلنت تريسي عن المسؤول الذي قام مقدم الطلب بـ[MASK].	مقابلته / رأيته	0.1	إختياره	0
73- أ	أعلنت تريسي عن مقدم الطلب الذي قام المسؤول بـ[MASK].	إختياره	0.333333333	إختياره	0.333333333
74- ب	رأى فتى عيد الميلاد أي مهرج قام صديقه بـ[MASK].	استئجاره	0.233333333	إخافته	0
74- أ	رأى فتى عيد الميلاد أي صديق قام المهرج بـ[MASK].	إخافته	0.3	إخافته	0.3
75- ب	نشر كاتب العمود أي مشهور قام  المصور بـ[MASK].	تصويره	0.366666667	لكمه	0
75- أ	نشر كاتب العمود أي مصور قام  المشهور بـ[MASK].	لكمه	0.3	لكمه	0.3
77- ب	سجل ضابط الشرطة السارق الذي قام الصائغ بـ[MASK].	تعرف عليه	0.3	سرقته	0
77- أ	سجل ضابط الشرطة الصائغ الذي قام السارق بـ[MASK].	سرقته	0.3	سرقته	0.3
78- ب	سأل الطاهي الملكي أي طاهٍ قام  اللورد بـ[MASK].	طلبه/إختياره/توضيفه	0.166666667	خدمته	0
78- أ	سأل الطاهي الملكي أي لورد قام الطاه بـ[MASK].	خدمته	0.3	خدمته	0.3
80- ب	ذكر أمين الحياة البرية أي حارس حديقة قام القرد بـ[MASK].	مهاجمته	0.266666667	إطعامه	0
80- أ	ذكر أمين الحياة البرية أي قرد قام حارس الحديقة بـ[MASK].	إطعامه	0.333333333	إطعامه	0.333333333
81- ب	أدرك عامل الإغاثة أي فاعل خير قام  اللاجؤون بـ[MASK].	شكره	0.133333333	مساعدتهم	0
81- أ	أدرك عامل الإغاثة أي اللاجئين قام فاعل الخير  بـ[MASK].	مساعدتهم	0.266666667	مساعدتهم	0.266666667
82- ب	أبلغ المخيم عن الدب الذي قام الفتي بـ[MASK].	مشاهدته	0.266666667	أكله	0
82- أ	أبلغ المخيم عن الفتي الذي قام الدب بـ[MASK].	أكله	0.3	أكله	0.266666667
83- ب	لاحظ مدرب الرقص أي الفنانين قام المتفرجون بـ[MASK].	تصفيق لهم/ إعجاب بهم	0.133333333	إذهالهم	0
83- أ	لاحظ مدرب الرقص أي المتفرجين قام الفنانين بـ[MASK].	إذهالهم	0.266666667	إذهالهم	0.266666667
87- ب	سجل وكيل السفر أي الضيوف قام صاحب الفندق بـ[MASK].	تسجيل وصولهم	0.133333333	إعجاب بهم	0
87- أ	سجل وكيل السفر أي صاحب فندق قام الضيوف بـ [MASK].	إعجاب به	0.266666667	إعجاب به	0.266666667
89- ب	شاهد مراقب الطيور أي صقر قام المصوربـ[MASK].	تصويره	0.433333333	مهاجمته	0
89- أ	شاهد مراقب الطيور أي مصور قام الصقر بـ[MASK].	مهاجمته	0.233333333	مهاجمته	0.233333333
91- ب	أكد مصمم الأزياء أي حلاق قام الممثل بـ[MASK].	إستخدامه	0.2	الحلاق له	0
91- أ	أكد مصمم الأزياء أي ممثل قام الحلاق بـ[MASK].	الحلاق له	0.233333333	الحلاق له	0.233333333
92- ب	اكتشف المحقق أي خاطف قام الزوجان بـ[MASK].	التعرف عليه	0.2	أخذ	0
92- أ	اكتشف المحقق أي الزوجين قام الخاطف بـ[MASK].	أخذهم	0.233333333	أخذهم	0.233333333
94- ب	نسي حارس السجن أي سجين قام الحارس بـ[MASK].	ضربه	0.1	مهاجمته	0
94- أ	نسي حارس السجن أي حارس قام سجين بـ[MASK].	مهاجمته	0.233333333	مهاجمته	0.233333333
94- ب	يتذكر الشريف أي عصابات كان السكان المحليون [MASK].	يخشونهم	0.133333333	تسرقهم	0
94- أ	يتذكر الشريف أي السكان المحليين كانت العصابات [MASK] .	تسرقهم	0.233333333	تسرقهم	0.233333333
95- ب	تعرف الملك  الخالد على أي زومبي قامت المرأة بـ[MASK].	قتله	0.266666667	أكلها	0
95- أ	تعرف الملك  الخالد على أي مرأة قام الزومبي بـ[MASK].	أكلها	0.3	أكلها	0.233333333
97- ب	شرح المذيع  أي حكم قام المتسابق بـ[MASK].	الإعجاب به	0.133333333	إستبعاده	0
97- أ	شرح المذيع  أي متسابق قام الحكم بـ[MASK].	إختياره/ إستبعاده	0.2	إستبعاده	0.2
99- ب	فهم مستشار الأسرة أي من الزوجين قامت الابنة بـ[MASK].	كرهه	0.2	الإساءة له	0
99- أ	فهم مستشار الأسرة أي إبنة قام الزوجين بـ[MASK].	الإساءة لها	0.2	الإساءة لها	0.2
100- ب	أكد مذيع الأخبار أي شرطي قام الهارب بـ[MASK].	إطلاق النار عليه	0.333333333	اعتقاله	0
